from what distance were goals scored?,inside goal area,inside goal area percent,inside penalty area,inside penalty area percent,outside penalty area,outside penalty area percent,penalties,penalties percent
Chile 2015,20,13.24503311,94,62.25165563,19,12.58278146,18,11.9205298
Brazil 2014,43,25.14619883,97,56.7251462,19,11.11111111,12,7.01754386
