tournament,1_15,1_15_percent,16_30,16_30_percent,31_45,31_45_percent,46_60,46_60_percent,61_75,61_75_percent,76_90,76_90_percent
Chile 2015,22,14.56953642,23,15.23178808,23,15.23178808,21,13.90728477,29,19.20529801,33,21.85430464
Brazil 2014,18,11.04294479,25,15.33742331,22,13.49693252,24,14.72392638,33,20.24539877,41,25.15337423
